"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"U$11, U$12, U$17, U$18, U$19, U$20";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";
"1";"GMSTBA2";"GMSTBA2";"GMSTBA2";"X2";"PHOENIX";"FARNELL";"1757242";"3705171";"71C4161";"";"";
"1";"GMSTBA4";"GMSTBA4";"GMSTBA4";"X3";"PHOENIX";"FARNELL";"1757268";"3705195";"71C4163";"";"";
"1";"GREEN";"LEDCHIP-LED0603";"CHIP-LED0603";"LED5";"LED";"";"";"";"";"";"";
"5";"GREEN";"LEDSML0603";"SML0603";"LED1, LED2, LED3, LED4, LED9";"LED";"";"";"";"";"";"";
"4";"IRLR024";"N-POWER-MOSFETDPAK-MOSFET";"D-PAK_TO252AA";"U$13, U$14, U$15, U$16";"";"";"";"";"";"";"";
"1";"LM2596-5";"LM2596S";"TO263-5";"IC2";"STEP-DOWN VOLTAGE REGULATOR";"";"";"";"";"";"";
"1";"LPC1769";"LPC1768";"LQFP100";"IC1";"LPC1768 100 MHz 32-bit ARM Cortex-M3 based microcontroller featuring a high level of integration and low power consumption. 512 kB Flash, 64 kB SRAM, USB Device/Host/OTG, Ethernet, CAN, I2S, 10-bit DAC";"";"";"";"";"";"";
"2";"MBRA210LT3";"DIODESMA";"SMADIODE";"D1, D3";"Diode";"";"";"";"";"";"";
"1";"MSTBA2";"MSTBA2";"MSTBA2";"X1";"PHOENIX";"FARNELL";"1757242";"3705171";"71C4161";"";"";
"6";"POLOLU_A4983CARRIER";"POLOLU_A4983CARRIER";"A4988BREAKOUT";"U$1, U$5, U$6, U$7, U$8, U$9";"";"";"";"";"";"";"";
"6";"RED";"LEDSML0603";"SML0603";"LED6, LED7, LED8, LED10, LED11, LED12";"LED";"";"";"";"";"";"";
"1";"SS34";"DIODE-DO-214AC";"DO-214AC";"D2";"Various Diode Packages";"";"";"";"";"";"";
"1";"SUM120N04-1M7L-GE3";"N-POWER-MOSFETD2PAK-MOSFET";"D2PACK";"U$10";"";"";"";"";"";"";"";
"2";"SW_TACT_4P_B";"SW_TACT_4P_B";"SW_TACT_STANDARD_RIGHT_ANGLE";"SW1, SW3";"";"";"";"";"";"";"";
"1";"USBPTH";"USBPTH";"USB-B-PTH";"X14";"USB Connectors";"";"";"";"";"";"";
"1";"USD-SOCKETUSD";"USD-SOCKETUSD";"USD-SOCKET-PP";"U3";"microSD Socket";"";"";"";"";"";"";
